================================================================================
CODEPLUG ORIGINAL - INFORME COMPLETO
Archivo: D:\DL\Programacion Tytera UV380\codeplug_actual.bin
Tamano: 262144 bytes (256 KB)
Fecha del informe: 2026-09-16
================================================================================

--- IDENTIFICACION DEL EQUIPO ---
SN: ￿￿￿￿￿￿￿￿
Model: ￿￿￿￿￿￿￿￿
Code: ￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿￿

--- CANALES (1000 poblados) ---
   # Mode  Pwr   RX MHz     TX MHz     Tone RX    Tone TX    Contact  Name
----------------------------------------------------------------------------------------------------
 218 DMR   HIGH  439.00000  431.40000  OFF        OFF        16       ED3ZAH EA8 BM
 219 DMR   HIGH  439.00000  431.40000  OFF        OFF        17       ED3ZAH EA9 BM
 220 DMR   HIGH  438.30000  430.70000  OFF        OFF        1        ED5ZAE 1-1 BM
 221 DMR   HIGH  438.30000  430.70000  OFF        OFF        2        ED5ZAE 1-2 BM
 222 DMR   HIGH  438.30000  430.70000  OFF        OFF        3        ED5ZAE 1-14 BM
 223 DMR   HIGH  438.30000  430.70000  OFF        OFF        4        ED5ZAE 1-214 BM
 224 DMR   HIGH  438.30000  430.70000  OFF        OFF        6        ED5ZAE 1-9 BM
 225 DMR   HIGH  438.30000  430.70000  OFF        OFF        6        ED5ZAE 2-9 BM
 226 DMR   HIGH  438.30000  430.70000  OFF        OFF        21       ED5ZAE ECHO BM
 227 DMR   HIGH  438.30000  430.70000  OFF        OFF        9        ED5ZAE EA1 BM
 228 DMR   HIGH  438.30000  430.70000  OFF        OFF        10       ED5ZAE EA2 BM
 229 DMR   HIGH  438.30000  430.70000  OFF        OFF        11       ED5ZAE EA3 BM
 230 DMR   HIGH  438.30000  430.70000  OFF        OFF        12       ED5ZAE EA4 BM
 231 DMR   HIGH  438.30000  430.70000  OFF        OFF        13       ED5ZAE EA5 BM
 232 DMR   HIGH  438.30000  430.70000  OFF        OFF        14       ED5ZAE EA6 BM
 233 DMR   HIGH  438.30000  430.70000  OFF        OFF        15       ED5ZAE EA7 BM
 234 DMR   HIGH  438.30000  430.70000  OFF        OFF        16       ED5ZAE EA8 BM
 235 DMR   HIGH  438.30000  430.70000  OFF        OFF        17       ED5ZAE EA9 BM
